challenge_id,evidence_id,source_manifest,source_batch,source_row_id,image_path,original_review_bucket,fitting_class_if_any,challenge_category,challenge_reason,baseline_001_prediction,baseline_002_prediction,baseline_003_prediction,review_action,expected_handling,include_for_challenge,notes
challenge_v1_dry_0005,large_dr_b001_dr_000357,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0013; errslice_0108,train/19367_left.jpeg,dr_pattern_dominant,dr_pattern_dominant,subtle_dr_missed_as_normal,Round 1 kept the original label and marked the model prediction as wrong for dr_pattern_dominant -> normal_or_non_specific.,normal_or_non_specific,normal_or_non_specific,,keep_label_model_wrong,model_should_match_original_review_bucket,yes_dry_run_only,dedupe_source_rows=2; source_run_names=baseline_001; baseline_002; source_review_row_ids=errslice_0013; errslice_0108; contact_sheets=contact_sheets/errslice_001.jpg; contact_sheets/errslice_007.jpg; duplicate Round 1 instances collapsed by evidence_id + challenge_category
challenge_v1_dry_0024,large_dr_b001_mixed_000423,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0084,train/40213_right.jpeg,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,mixed_vs_dr_boundary,Round 1 kept the original label and marked the model prediction as wrong for mixed_hemorrhage_exudate_pattern -> dr_pattern_dominant.,dr_pattern_dominant,dr_pattern_dominant,,keep_label_model_wrong,model_should_match_original_review_bucket,yes_dry_run_only,dedupe_source_rows=1; source_run_names=baseline_001; source_review_row_ids=errslice_0084; contact_sheets=contact_sheets/errslice_006.jpg
challenge_v1_dry_0031,large_dr_b001_mixed_000329,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0057,train/31143_left.jpeg,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,mixed_vs_exudate_boundary,Round 1 kept the original label and marked the model prediction as wrong for mixed_hemorrhage_exudate_pattern -> exudate_macular_pattern_dominant.,exudate_macular_pattern_dominant,exudate_macular_pattern_dominant,,keep_label_model_wrong,model_should_match_original_review_bucket,yes_dry_run_only,dedupe_source_rows=1; source_run_names=baseline_001; source_review_row_ids=errslice_0057; contact_sheets=contact_sheets/errslice_004.jpg
challenge_v1_dry_0037,large_dr_b001_dr_000344,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0012; errslice_0107,train/19047_right.jpeg,dr_pattern_dominant,dr_pattern_dominant,low_quality_or_low_contrast,Round 1 marked this row as unusable or too low quality; include only as a quality stress case.,normal_or_non_specific,normal_or_non_specific,,unusable_low_quality,quality_stress_case_not_disease_truth,yes_dry_run_only,dedupe_source_rows=2; source_run_names=baseline_001; baseline_002; source_review_row_ids=errslice_0012; errslice_0107; contact_sheets=contact_sheets/errslice_001.jpg; contact_sheets/errslice_007.jpg; proposal_status=proposal_only_exclude_unusable_low_quality; proposed_corrected_bucket=; duplicate Round 1 instances collapsed by evidence_id + challenge_category
challenge_v1_dry_0038,large_dr_b001_exudate_000372,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0028; errslice_0121,train/14336_right.jpeg,exudate_macular_pattern_dominant,exudate_macular_pattern_dominant,low_quality_or_low_contrast,Round 1 marked this row as unusable or too low quality; include only as a quality stress case.,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,,unusable_low_quality,quality_stress_case_not_disease_truth,yes_dry_run_only,dedupe_source_rows=2; source_run_names=baseline_001; baseline_002; source_review_row_ids=errslice_0028; errslice_0121; contact_sheets=contact_sheets/errslice_002.jpg; contact_sheets/errslice_008.jpg; proposal_status=proposal_only_exclude_unusable_low_quality; proposed_corrected_bucket=; duplicate Round 1 instances collapsed by evidence_id + challenge_category
challenge_v1_dry_0039,large_dr_b001_exudate_000380,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0031; errslice_0124,train/14834_right.jpeg,exudate_macular_pattern_dominant,exudate_macular_pattern_dominant,low_quality_or_low_contrast,Round 1 marked this row as unusable or too low quality; include only as a quality stress case.,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,,unusable_low_quality,quality_stress_case_not_disease_truth,yes_dry_run_only,dedupe_source_rows=2; source_run_names=baseline_001; baseline_002; source_review_row_ids=errslice_0031; errslice_0124; contact_sheets=contact_sheets/errslice_002.jpg; contact_sheets/errslice_008.jpg; proposal_status=proposal_only_exclude_unusable_low_quality; proposed_corrected_bucket=; duplicate Round 1 instances collapsed by evidence_id + challenge_category
challenge_v1_dry_0040,large_dr_b001_mixed_000380,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0164,train/35855_left.jpeg,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,low_quality_or_low_contrast,Round 1 marked this row as unusable or too low quality; include only as a quality stress case.,exudate_macular_pattern_dominant,exudate_macular_pattern_dominant,,unusable_low_quality,quality_stress_case_not_disease_truth,yes_dry_run_only,dedupe_source_rows=1; source_run_names=baseline_002; source_review_row_ids=errslice_0164; contact_sheets=contact_sheets/errslice_011.jpg; proposal_status=proposal_only_exclude_unusable_low_quality; proposed_corrected_bucket=
challenge_v1_dry_0041,large_dr_b001_mixed_000415,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0173,train/39365_right.jpeg,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,low_quality_or_low_contrast,Round 1 marked this row as unusable or too low quality; include only as a quality stress case.,exudate_macular_pattern_dominant,exudate_macular_pattern_dominant,,unusable_low_quality,quality_stress_case_not_disease_truth,yes_dry_run_only,dedupe_source_rows=1; source_run_names=baseline_002; source_review_row_ids=errslice_0173; contact_sheets=contact_sheets/errslice_011.jpg; proposal_status=proposal_only_exclude_unusable_low_quality; proposed_corrected_bucket=
challenge_v1_dry_0042,large_dr_b001_mixed_000423,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0177,train/40213_right.jpeg,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,low_quality_or_low_contrast,Round 1 marked this row as unusable or too low quality; include only as a quality stress case.,dr_pattern_dominant,dr_pattern_dominant,,unusable_low_quality,quality_stress_case_not_disease_truth,yes_dry_run_only,dedupe_source_rows=1; source_run_names=baseline_002; source_review_row_ids=errslice_0177; contact_sheets=contact_sheets/errslice_012.jpg; proposal_status=proposal_only_exclude_unusable_low_quality; proposed_corrected_bucket=
challenge_v1_dry_0043,large_dr_b001_mixed_000400,baseline_001_002_error_slice_round1_combined_review_support.csv,large_dr_batch_001_moderate_full_review,errslice_0078,train/37612_right.jpeg,mixed_hemorrhage_exudate_pattern,mixed_hemorrhage_exudate_pattern,model_disagreement,Round 1 left this row unassigned; include only as a review-hold challenge candidate.,exudate_macular_pattern_dominant,exudate_macular_pattern_dominant,,unassigned,review_hold_before_canonical_use,yes_dry_run_only,dedupe_source_rows=1; source_run_names=baseline_001; source_review_row_ids=errslice_0078; contact_sheets=contact_sheets/errslice_005.jpg; proposal_status=review_hold_unassigned_no_proposed_action; proposed_corrected_bucket=
